Country Name;Country Code;Region;IncomeGroup;Year;Life Expectancy World Bank;Prevelance of Undernourishment;CO2;Health Expenditure %;Education Expenditure %;Unemployment;Corruption;Sanitation
Tuvalu;TUV;East Asia & Pacific;Upper middle income;2019;68,29;4,8;10;23,96;3,78;3,65;3,5;28,49
Palau;PLW;East Asia & Pacific;Upper middle income;2001;68,29;4,8;220;7,9;7,71;3,65;3;28,49
Palau;PLW;East Asia & Pacific;Upper middle income;2002;68,29;4,8;220;8,02;7,52;3,65;3;28,49
Palau;PLW;East Asia & Pacific;Upper middle income;2003;68,29;4,8;220;9,02;3,78;3,65;3;28,49
Palau;PLW;East Asia & Pacific;Upper middle income;2004;68,29;4,8;230;9,98;3,78;3,65;3;28,49
Palau;PLW;East Asia & Pacific;Upper middle income;2010;68,29;4,8;210;11,55;7,76;3,65;3;28,49
Palau;PLW;East Asia & Pacific;Upper middle income;2011;68,29;4,8;210;10,82;7,53;3,65;3;28,49
Palau;PLW;East Asia & Pacific;Upper middle income;2009;68,29;4,8;200;10,31;7,57;3,65;3;28,49
Palau;PLW;East Asia & Pacific;Upper middle income;2008;68,29;4,8;210;9,45;6,24;3,65;3;28,49
Palau;PLW;East Asia & Pacific;Upper middle income;2012;68,29;4,8;220;11,58;7,65;3,65;3;28,49
Palau;PLW;East Asia & Pacific;Upper middle income;2007;68,29;4,8;240;9,86;3,78;3,65;3;28,49
Palau;PLW;East Asia & Pacific;Upper middle income;2006;68,29;4,8;250;9,67;3,78;3,65;3;28,49
Palau;PLW;East Asia & Pacific;Upper middle income;2005;69,13;4,8;260;9,34;3,78;3,65;3;28,49
Palau;PLW;East Asia & Pacific;Upper middle income;2013;68,29;4,8;220;12,07;6,89;3,65;3;28,49
Palau;PLW;East Asia & Pacific;Upper middle income;2014;68,29;4,8;220;12,12;6,55;3,65;3;28,49
Palau;PLW;East Asia & Pacific;Upper middle income;2015;68,29;4,8;210;11,43;5,71;3,65;3;28,49
Palau;PLW;East Asia & Pacific;Upper middle income;2016;68,29;4,8;250;12,12;5,86;3,65;3;28,49
San Marino;SMR;Europe & Central Asia;High income;2001;68,29;4,8;642,62;5,69;3,78;3,65;3;70,37
Palau;PLW;East Asia & Pacific;Upper middle income;2017;68,29;4,8;260;12,04;6,59;3,65;3;28,49
San Marino;SMR;Europe & Central Asia;High income;2002;68,29;4,8;642,62;5,44;3,78;3,65;3;70,37
Palau;PLW;East Asia & Pacific;Upper middle income;2018;68,29;4,8;250;10,85;6,53;3,65;3;28,49
San Marino;SMR;Europe & Central Asia;High income;2003;68,29;4,8;642,62;4,82;3,78;3,65;3;70,37
Palau;PLW;East Asia & Pacific;Upper middle income;2019;68,29;4,8;250;15,15;6,81;3,65;3;28,49
San Marino;SMR;Europe & Central Asia;High income;2004;68,29;4,8;642,62;4,91;3,78;3,65;3;70,37
San Marino;SMR;Europe & Central Asia;High income;2005;68,29;4,8;642,62;4,93;3,78;3,65;3;70,37
San Marino;SMR;Europe & Central Asia;High income;2006;68,29;4,8;642,62;4,96;3,78;3,65;3;70,37
San Marino;SMR;Europe & Central Asia;High income;2007;68,29;4,8;642,62;5,14;3,78;3,65;3;70,37
San Marino;SMR;Europe & Central Asia;High income;2008;68,29;4,8;642,62;5,46;3,78;3,65;3;70,37
San Marino;SMR;Europe & Central Asia;High income;2009;68,29;4,8;642,62;6,24;3,78;3,65;3;70,37
San Marino;SMR;Europe & Central Asia;High income;2010;68,29;4,8;642,62;6,61;2,63;3,65;3;70,37
San Marino;SMR;Europe & Central Asia;High income;2011;68,29;4,8;642,62;7,4;2,7;3,65;3;70,37
San Marino;SMR;Europe & Central Asia;High income;2012;68,29;4,8;642,62;7,95;3,78;3,65;3;70,37
San Marino;SMR;Europe & Central Asia;High income;2013;68,29;4,8;642,62;7,73;3,78;3,65;3;70,37
San Marino;SMR;Europe & Central Asia;High income;2014;68,29;4,8;642,62;7,53;3,78;3,65;3;70,37
San Marino;SMR;Europe & Central Asia;High income;2015;68,29;4,8;642,62;7,18;3,78;3,65;3;70,37
San Marino;SMR;Europe & Central Asia;High income;2016;68,29;4,8;642,62;6,73;3,78;3,65;3;70,37
San Marino;SMR;Europe & Central Asia;High income;2017;68,29;4,8;642,62;7,22;3,37;3,65;3;70,37
San Marino;SMR;Europe & Central Asia;High income;2018;68,29;4,8;642,62;6,91;3,56;3,65;3;70,37
San Marino;SMR;Europe & Central Asia;High income;2019;68,29;4,8;642,62;6,39;3,38;3,65;3;70,37
American Samoa;ASM;East Asia & Pacific;Upper middle income;2001;68,29;4,8;642,62;5,2;3,78;3,65;3;28,49
American Samoa;ASM;East Asia & Pacific;Upper middle income;2002;68,29;4,8;642,62;5,2;3,78;3,65;3;28,49
Marshall Islands;MHL;East Asia & Pacific;Upper middle income;2001;68,29;4,8;110;16,35;3,78;3,65;3;28,49
American Samoa;ASM;East Asia & Pacific;Upper middle income;2003;68,29;4,8;642,62;5,2;3,78;3,65;3;28,49
Monaco;MCO;Europe & Central Asia;High income;2001;68,29;4,8;642,62;1,76;3,78;3,65;3;100
Monaco;MCO;Europe & Central Asia;High income;2002;68,29;4,8;642,62;1,79;3,78;3,65;3;100
American Samoa;ASM;East Asia & Pacific;Upper middle income;2004;68,29;4,8;642,62;5,2;3,78;3,65;3;28,49
American Samoa;ASM;East Asia & Pacific;Upper middle income;2005;68,29;4,8;642,62;5,2;3,78;3,65;3;28,49
Monaco;MCO;Europe & Central Asia;High income;2003;68,29;4,8;642,62;2,08;3,78;3,65;3;100
Marshall Islands;MHL;East Asia & Pacific;Upper middle income;2002;68,29;4,8;120;14,38;8,21;3,65;3;28,49
Monaco;MCO;Europe & Central Asia;High income;2004;68,29;4,8;642,62;2,13;1,24;3,65;3;100
American Samoa;ASM;East Asia & Pacific;Upper middle income;2006;68,29;4,8;642,62;5,2;14,72;3,65;3;28,49
Northern Mariana Islands;MNP;East Asia & Pacific;High income;2004;68,29;4,8;642,62;5,2;3,78;3,65;3;28,49
Monaco;MCO;Europe & Central Asia;High income;2005;68,29;4,8;642,62;2,12;3,78;3,65;3;100
Northern Mariana Islands;MNP;East Asia & Pacific;High income;2005;68,29;4,8;642,62;5,2;3,78;3,65;3;28,49
American Samoa;ASM;East Asia & Pacific;Upper middle income;2007;68,29;4,8;642,62;5,2;3,78;3,65;3;28,49
Monaco;MCO;Europe & Central Asia;High income;2006;68,29;4,8;642,62;2,02;3,78;3,65;3;100
Marshall Islands;MHL;East Asia & Pacific;Upper middle income;2003;68,29;4,8;110;14,33;11,82;3,65;3;28,49
American Samoa;ASM;East Asia & Pacific;Upper middle income;2008;68,29;4,8;642,62;5,2;3,78;3,65;3;28,49
Northern Mariana Islands;MNP;East Asia & Pacific;High income;2003;68,29;4,8;642,62;5,2;3,78;3,65;3;28,49
Monaco;MCO;Europe & Central Asia;High income;2007;68,29;4,8;642,62;1,79;3,78;3,65;3;100
Northern Mariana Islands;MNP;East Asia & Pacific;High income;2006;68,29;4,8;642,62;5,2;3,78;3,65;3;28,49
Monaco;MCO;Europe & Central Asia;High income;2008;68,29;4,8;642,62;1,92;3,78;3,65;3;100
American Samoa;ASM;East Asia & Pacific;Upper middle income;2009;68,29;4,8;642,62;5,2;3,78;3,65;3;28,49
American Samoa;ASM;East Asia & Pacific;Upper middle income;2010;68,29;4,8;642,62;5,2;3,78;3,65;3;28,49
Northern Mariana Islands;MNP;East Asia & Pacific;High income;2007;68,29;4,8;642,62;5,2;3,78;3,65;3;28,49
Monaco;MCO;Europe & Central Asia;High income;2009;68,29;4,8;642,62;2,28;1,35;3,65;3;100
Marshall Islands;MHL;East Asia & Pacific;Upper middle income;2004;68,29;4,8;130;17,26;3,78;3,65;3;28,49
Northern Mariana Islands;MNP;East Asia & Pacific;High income;2013;68,29;4,8;642,62;5,2;3,78;3,65;3;28,49
Northern Mariana Islands;MNP;East Asia & Pacific;High income;2014;68,29;4,8;642,62;5,2;3,78;3,65;3;28,49
Monaco;MCO;Europe & Central Asia;High income;2010;68,29;4,8;642,62;2,33;1,32;3,65;3;100
Northern Mariana Islands;MNP;East Asia & Pacific;High income;2008;68,29;4,8;642,62;5,2;3,78;3,65;3;28,49
American Samoa;ASM;East Asia & Pacific;Upper middle income;2011;68,29;4,8;642,62;5,2;3,78;3,65;3;28,49
Northern Mariana Islands;MNP;East Asia & Pacific;High income;2012;68,29;4,8;642,62;5,2;3,78;3,65;3;28,49
Monaco;MCO;Europe & Central Asia;High income;2011;68,29;4,8;642,62;2,18;1,59;3,65;3;100
Northern Mariana Islands;MNP;East Asia & Pacific;High income;2002;68,29;4,8;642,62;5,2;3,78;3,65;3;28,49
Northern Mariana Islands;MNP;East Asia & Pacific;High income;2010;68,29;4,8;642,62;5,2;3,78;3,65;3;28,49
Northern Mariana Islands;MNP;East Asia & Pacific;High income;2009;68,29;4,8;642,62;5,2;3,78;3,65;3;28,49
Northern Mariana Islands;MNP;East Asia & Pacific;High income;2011;68,29;4,8;642,62;5,2;3,78;3,65;3;28,49
Monaco;MCO;Europe & Central Asia;High income;2012;68,29;4,8;642,62;2,23;1,78;3,65;3;100
Northern Mariana Islands;MNP;East Asia & Pacific;High income;2015;68,29;4,8;642,62;5,2;3,78;3,65;3;28,49
Marshall Islands;MHL;East Asia & Pacific;Upper middle income;2005;68,29;4,8;140;21,96;3,78;3,65;3;28,49
Monaco;MCO;Europe & Central Asia;High income;2013;68,29;4,8;642,62;2,15;1,33;3,65;3;100
American Samoa;ASM;East Asia & Pacific;Upper middle income;2012;68,29;4,8;642,62;5,2;3,78;3,65;3;28,49
Monaco;MCO;Europe & Central Asia;High income;2014;68,29;4,8;642,62;2,09;1,02;3,65;3;100
Monaco;MCO;Europe & Central Asia;High income;2015;68,29;4,8;642,62;2,03;3,78;3,65;3;100
Monaco;MCO;Europe & Central Asia;High income;2016;68,29;4,8;642,62;1,63;1,37;3,65;3;100
Monaco;MCO;Europe & Central Asia;High income;2017;68,29;4,8;642,62;1,64;1,46;3,65;3;100
Northern Mariana Islands;MNP;East Asia & Pacific;High income;2016;68,29;4,8;642,62;5,2;3,78;3,65;3;28,49
Monaco;MCO;Europe & Central Asia;High income;2018;68,29;4,8;642,62;1,6;3,78;3,65;3;100
Northern Mariana Islands;MNP;East Asia & Pacific;High income;2001;68,29;4,8;642,62;5,2;3,78;3,65;3;28,49
Monaco;MCO;Europe & Central Asia;High income;2019;68,29;4,8;642,62;1,53;1,15;3,65;3;100
Northern Mariana Islands;MNP;East Asia & Pacific;High income;2017;68,29;4,8;642,62;5,2;3,78;3,65;3;28,49
Northern Mariana Islands;MNP;East Asia & Pacific;High income;2018;68,29;4,8;642,62;5,2;3,78;3,65;3;28,49
Northern Mariana Islands;MNP;East Asia & Pacific;High income;2019;68,29;4,8;642,62;5,2;3,78;3,65;3;28,49
American Samoa;ASM;East Asia & Pacific;Upper middle income;2013;68,29;4,8;642,62;5,2;3,78;3,65;3;28,49
Marshall Islands;MHL;East Asia & Pacific;Upper middle income;2006;68,29;4,8;140;22,02;3,78;3,65;3;28,49
American Samoa;ASM;East Asia & Pacific;Upper middle income;2014;68,29;4,8;642,62;5,2;3,78;3,65;3;28,49
Marshall Islands;MHL;East Asia & Pacific;Upper middle income;2007;68,29;4,8;140;18,07;3,78;3,65;3;28,49
American Samoa;ASM;East Asia & Pacific;Upper middle income;2015;68,29;4,8;642,62;5,2;3,78;3,65;3;28,49
Marshall Islands;MHL;East Asia & Pacific;Upper middle income;2008;68,29;4,8;130;17,09;17,56;3,65;3;28,49
American Samoa;ASM;East Asia & Pacific;Upper middle income;2016;68,29;4,8;642,62;5,2;3,78;3,65;3;28,49
Marshall Islands;MHL;East Asia & Pacific;Upper middle income;2009;68,29;4,8;140;16,43;23,27;3,65;3;28,49
American Samoa;ASM;East Asia & Pacific;Upper middle income;2017;68,29;4,8;642,62;5,2;3,78;3,65;3;28,49
Marshall Islands;MHL;East Asia & Pacific;Upper middle income;2010;68,29;4,8;140;15,85;20,59;3,65;3;28,49
American Samoa;ASM;East Asia & Pacific;Upper middle income;2018;68,29;4,8;642,62;5,2;3,78;3,65;3;28,49
American Samoa;ASM;East Asia & Pacific;Upper middle income;2019;68,29;4,8;642,62;5,2;3,78;3,65;3;28,49
Marshall Islands;MHL;East Asia & Pacific;Upper middle income;2011;68,29;4,8;140;14,94;19,71;3,65;3,5;28,49
Marshall Islands;MHL;East Asia & Pacific;Upper middle income;2012;68,29;4,8;140;14,78;15,59;3,65;3,5;28,49
Marshall Islands;MHL;East Asia & Pacific;Upper middle income;2013;68,29;4,8;140;15,13;15,99;3,65;3,5;28,49
Bermuda;BMU;North America;High income;2001;77,89;4,8;642,62;5,2;3,78;3,65;3;28,49
Bermuda;BMU;North America;High income;2002;78,09;4,8;642,62;5,2;3,78;3,65;3;28,49
Bermuda;BMU;North America;High income;2003;78,33;4,8;642,62;5,2;1,67;3,65;3;28,49
Andorra;AND;Europe & Central Asia;High income;2001;68,29;4,8;520;5,87;3,78;3,65;3;21,79
Bermuda;BMU;North America;High income;2004;78,49;4,8;642,62;5,2;1,78;3,65;3;28,49
Marshall Islands;MHL;East Asia & Pacific;Upper middle income;2014;68,29;4,8;150;14,94;15,67;3,65;3,5;28,49
Bermuda;BMU;North America;High income;2005;78,69;4,8;642,62;5,2;1,99;3,65;3;28,49
Bermuda;BMU;North America;High income;2006;78,89;4,8;642,62;5,2;3,78;3,65;3;28,49
Marshall Islands;MHL;East Asia & Pacific;Upper middle income;2015;68,29;4,8;150;17,04;17,63;3,65;3,5;28,49
Andorra;AND;Europe & Central Asia;High income;2002;68,29;4,8;530;6,1;1,66;3,65;3;28,97
Bermuda;BMU;North America;High income;2007;78,93;4,8;642,62;5,2;3,78;3,65;3;28,49
Bermuda;BMU;North America;High income;2008;79,24;4,8;642,62;5,2;3,78;3,65;3;28,49
Marshall Islands;MHL;East Asia & Pacific;Upper middle income;2016;68,29;4,8;180;17,37;15,28;3,65;3,5;28,49
Bermuda;BMU;North America;High income;2009;79,39;4,8;642,62;5,2;2,29;3,65;3;28,49
Antigua and Barbuda;ATG;Latin America & Caribbean;High income;2001;74,17;4,8;350;5,44;3,78;3,65;3;28,49
Bermuda;BMU;North America;High income;2010;79,29;4,8;642,62;5,2;2,31;3,65;3;28,49
Marshall Islands;MHL;East Asia & Pacific;Upper middle income;2017;68,29;4,8;180;16,08;15,22;3,65;3,5;28,49
Bermuda;BMU;North America;High income;2011;81,15;4,8;642,62;5,2;3,78;3,65;3;28,49
Antigua and Barbuda;ATG;Latin America & Caribbean;High income;2002;74,4;4,8;390;5,29;3,4;3,65;3;28,49
Marshall Islands;MHL;East Asia & Pacific;Upper middle income;2018;68,29;4,8;180;17;15,2;3,65;3,5;28,49
Greenland;GRL;Europe & Central Asia;High income;2004;68,59;4,8;642,62;5,2;3,78;3,65;3;85,91
Bermuda;BMU;North America;High income;2012;81,68;4,8;642,62;5,2;3,78;3,65;3;28,49
Greenland;GRL;Europe & Central Asia;High income;2005;68,43;4,8;642,62;5,2;3,78;3,65;3;85,91
Greenland;GRL;Europe & Central Asia;High income;2001;66,71;4,8;642,62;5,2;3,78;3,65;3;85,91
Andorra;AND;Europe & Central Asia;High income;2003;68,29;4,8;530;5,64;3,78;3,65;3;36,16
Greenland;GRL;Europe & Central Asia;High income;2006;68,67;4,8;642,62;5,2;3,78;3,65;3;85,91
Antigua and Barbuda;ATG;Latin America & Caribbean;High income;2003;74,61;4,8;410;5,59;3,78;3,65;3;28,49
Greenland;GRL;Europe & Central Asia;High income;2003;68,11;4,8;642,62;5,2;3,78;3,65;3;85,91
Bermuda;BMU;North America;High income;2013;80,57;4,8;642,62;5,2;3,78;3,65;3;28,49
Greenland;GRL;Europe & Central Asia;High income;2007;69,37;4,8;642,62;5,2;3,78;3,65;3;85,91
Marshall Islands;MHL;East Asia & Pacific;Upper middle income;2019;68,29;4,8;180;16,34;15,75;3,65;3,5;28,49
Greenland;GRL;Europe & Central Asia;High income;2002;67,2;4,8;642,62;5,2;3,78;3,65;3;85,91
Greenland;GRL;Europe & Central Asia;High income;2008;70,02;4,8;642,62;5,2;3,78;3,65;3;86,13
Greenland;GRL;Europe & Central Asia;High income;2009;70,53;4,8;642,62;5,2;3,78;3,65;3;86,75
Greenland;GRL;Europe & Central Asia;High income;2010;70,29;4,8;642,62;5,2;3,78;3,65;3;87,37
Greenland;GRL;Europe & Central Asia;High income;2011;69,85;4,8;642,62;5,2;3,78;3,65;3;87,99
Antigua and Barbuda;ATG;Latin America & Caribbean;High income;2004;74,82;4,8;400;5,12;3,78;3,65;3;28,49
Bermuda;BMU;North America;High income;2014;80,8;4,8;642,62;5,2;1,54;3,65;3;28,49
Greenland;GRL;Europe & Central Asia;High income;2015;71,98;4,8;642,62;5,2;12;3,65;3;90,5
Greenland;GRL;Europe & Central Asia;High income;2012;70,55;4,8;642,62;5,2;3,78;3,65;3;88,62
Greenland;GRL;Europe & Central Asia;High income;2013;71,57;4,8;642,62;5,2;3,78;3,65;3;89,24
Greenland;GRL;Europe & Central Asia;High income;2014;71,99;4,8;642,62;5,2;3,78;3,65;3;89,87
Greenland;GRL;Europe & Central Asia;High income;2016;71,83;4,8;642,62;5,2;11,09;3,65;3;91,13
Bermuda;BMU;North America;High income;2015;81,01;4,8;642,62;5,2;1,5;3,65;3;28,49
Antigua and Barbuda;ATG;Latin America & Caribbean;High income;2005;75,02;4,8;410;4,99;3,78;3,65;3;28,49
Greenland;GRL;Europe & Central Asia;High income;2017;71,58;4,8;642,62;5,2;11,03;3,65;3;91,43
Bermuda;BMU;North America;High income;2016;81,23;4,8;642,62;5,2;3,78;3,65;3;28,49
Greenland;GRL;Europe & Central Asia;High income;2018;71,89;4,8;642,62;5,2;10,56;3,65;3;91,66
Andorra;AND;Europe & Central Asia;High income;2004;68,29;4,8;560;5,38;1,54;3,65;3;43,34
Greenland;GRL;Europe & Central Asia;High income;2019;72,05;4,8;642,62;5,2;3,78;3,65;3;91,89
Bermuda;BMU;North America;High income;2017;81,44;4,8;642,62;5,2;1,32;3,65;3;28,49
Antigua and Barbuda;ATG;Latin America & Caribbean;High income;2006;75,2;4,8;440;4,63;3,78;3,65;3;28,49
Andorra;AND;Europe & Central Asia;High income;2005;68,29;4,8;580;5,74;1,64;3,65;3;50,53
Bermuda;BMU;North America;High income;2018;81,65;4,8;642,62;5,2;3,78;3,65;3;28,49
Bermuda;BMU;North America;High income;2019;81,87;4,8;642,62;5,2;3,78;3,65;3;28,49
Andorra;AND;Europe & Central Asia;High income;2012;68,29;4,8;490;6,13;3,78;3,65;3;100
Andorra;AND;Europe & Central Asia;High income;2006;68,29;4,8;550;5,06;2,24;3,65;3;57,71
Andorra;AND;Europe & Central Asia;High income;2013;68,29;4,8;480;6,16;2,51;3,65;3;100
Antigua and Barbuda;ATG;Latin America & Caribbean;High income;2007;75,38;4,8;460;4,45;3,78;3,65;3;28,49
Antigua and Barbuda;ATG;Latin America & Caribbean;High income;2009;75,68;4,8;1390;4,19;2,51;3,65;3;28,49
Andorra;AND;Europe & Central Asia;High income;2011;68,29;4,8;490;6,09;2,99;3,65;3;93,63
Andorra;AND;Europe & Central Asia;High income;2007;68,29;4,8;540;5,03;2,1;3,65;3;64,9
Antigua and Barbuda;ATG;Latin America & Caribbean;High income;2008;75,54;4,8;480;4,2;3,78;3,65;3;28,49
Antigua and Barbuda;ATG;Latin America & Caribbean;High income;2010;75,82;4,8;490;5,38;3,78;3,65;3;28,49
Andorra;AND;Europe & Central Asia;High income;2014;68,29;4,8;460;6,13;3,07;3,65;3;100
Antigua and Barbuda;ATG;Latin America & Caribbean;High income;2011;75,96;4,8;540;5,44;3,78;3,65;3;28,49
Andorra;AND;Europe & Central Asia;High income;2008;68,29;4,8;540;5,79;2,87;3,65;3;72,08
Andorra;AND;Europe & Central Asia;High income;2015;68,29;4,8;470;6,28;3,28;3,65;3;100
Andorra;AND;Europe & Central Asia;High income;2009;68,29;4,8;520;6,24;3,14;3,65;3;79,27
Antigua and Barbuda;ATG;Latin America & Caribbean;High income;2012;76,09;4,8;700;5,48;3,78;3,65;3;28,49
Seychelles;SYC;Sub-Saharan Africa;High income;2001;73,25;4,8;320;5,4;3,78;3,65;3;28,49
Andorra;AND;Europe & Central Asia;High income;2016;68,29;4,8;470;6,31;3,24;3,65;3;100
Andorra;AND;Europe & Central Asia;High income;2010;68,29;4,8;520;6,58;2,98;3,65;3;86,45
Antigua and Barbuda;ATG;Latin America & Caribbean;High income;2013;76,22;4,8;470;5,51;3,78;3,65;3;28,49
Dominica;DMA;Latin America & Caribbean;Upper middle income;2005;68,29;5,4;160;4,98;3,78;3,65;4;28,49
Dominica;DMA;Latin America & Caribbean;Upper middle income;2001;68,29;3,7;150;4,65;3,78;3,65;3;28,49
Dominica;DMA;Latin America & Caribbean;Upper middle income;2006;68,29;5;170;4,78;3,78;3,65;4;28,49
Dominica;DMA;Latin America & Caribbean;Upper middle income;2004;68,29;5;160;4,75;3,78;3,65;3;28,49
Dominica;DMA;Latin America & Caribbean;Upper middle income;2002;76,6;4,1;120;4,65;3,78;3,65;3;28,49
Dominica;DMA;Latin America & Caribbean;Upper middle income;2007;68,29;4,6;180;4,79;3,78;3,65;4;28,49
Dominica;DMA;Latin America & Caribbean;Upper middle income;2008;68,29;4,1;180;5,05;3,78;3,65;4;28,49
Dominica;DMA;Latin America & Caribbean;Upper middle income;2003;68,29;4,7;140;4,85;3,78;3,65;3;28,49
Seychelles;SYC;Sub-Saharan Africa;High income;2002;71,09;4,8;350;4,56;5,19;3,65;3;28,49
Dominica;DMA;Latin America & Caribbean;Upper middle income;2009;68,29;4,5;500;4,98;3,78;3,65;4;28,49
Andorra;AND;Europe & Central Asia;High income;2017;68,29;4,8;470;6,59;3,22;3,65;3;100
Antigua and Barbuda;ATG;Latin America & Caribbean;High income;2014;76,35;4,8;480;5,87;3,78;3,65;3;28,49
Dominica;DMA;Latin America & Caribbean;Upper middle income;2010;68,29;4,8;180;5,16;3,78;3,65;4;28,49
Dominica;DMA;Latin America & Caribbean;Upper middle income;2011;68,29;5,2;180;5,33;3,78;3,65;4;28,49
Antigua and Barbuda;ATG;Latin America & Caribbean;High income;2015;76,48;4,8;490;5,28;3,78;3,65;3;28,49
Andorra;AND;Europe & Central Asia;High income;2018;68,29;4,8;490;6,75;3,25;3,65;3;100
Seychelles;SYC;Sub-Saharan Africa;High income;2003;71,03;4,8;340;5,36;5,37;3,65;3;28,49
Dominica;DMA;Latin America & Caribbean;Upper middle income;2012;68,29;5,4;250;5,8;3,78;3,65;4;28,49
Seychelles;SYC;Sub-Saharan Africa;High income;2004;72,66;4,8;380;5,2;3,78;3,65;3;28,49
Antigua and Barbuda;ATG;Latin America & Caribbean;High income;2016;76,62;4,8;500;5,12;2,43;3,65;3;28,49
Dominica;DMA;Latin America & Caribbean;Upper middle income;2013;68,29;5,5;170;5,31;3,78;3,65;4;28,49
Tonga;TON;East Asia & Pacific;Upper middle income;2001;69,73;4,8;90;3,54;4,48;4,34;3;33,24
Tonga;TON;East Asia & Pacific;Upper middle income;2005;69,84;4,8;130;4,52;3,78;2,49;2;33,79
Seychelles;SYC;Sub-Saharan Africa;High income;2005;72,13;4,8;380;4,98;3,78;3,65;3;28,49
Dominica;DMA;Latin America & Caribbean;Upper middle income;2014;68,29;5,3;180;5,23;3,78;3,65;4;28,49
Andorra;AND;Europe & Central Asia;High income;2019;68,29;4,8;500;6,71;3,15;3,65;3;100
