Country Name;Country Code;Region;IncomeGroup;Year;Life Expectancy World Bank;Prevelance of Undernourishment;CO2;Health Expenditure %;Education Expenditure %;Unemployment;Corruption;Sanitation;Injuries;Communicable;NonCommunicable
Tuvalu;TUV;East Asia & Pacific;Upper middle income;2013;68,29;4,80;10,00;18,60;3,78;3,65;3,00;6,50;458,13;658,03;3074,22
Tuvalu;TUV;East Asia & Pacific;Upper middle income;2014;68,29;4,80;10,00;16,86;3,78;3,65;3,50;6,20;460,75;648,20;3105,34
Tuvalu;TUV;East Asia & Pacific;Upper middle income;2015;68,29;4,80;10,00;16,70;3,78;3,65;3,50;6,17;462,59;638,84;3133,87
Tuvalu;TUV;East Asia & Pacific;Upper middle income;2016;68,29;4,80;10,00;15,61;3,78;3,65;3,50;6,15;466,25;631,03;3168,97
Tuvalu;TUV;East Asia & Pacific;Upper middle income;2017;68,29;4,80;10,00;16,78;3,78;3,65;3,50;6,13;470,12;623,04;3204,72
Tuvalu;TUV;East Asia & Pacific;Upper middle income;2018;68,29;4,80;10,00;19,04;3,78;3,65;3,50;6,12;472,67;616,38;3239,64
Tuvalu;TUV;East Asia & Pacific;Upper middle income;2019;68,29;4,80;10,00;23,96;3,78;3,65;3,50;28,49;474,37;611,67;3273,19
Palau;PLW;East Asia & Pacific;Upper middle income;2001;68,29;4,80;220,00;7,90;7,71;3,65;3,00;28,49;1206,23;1314,29;5205,93
Palau;PLW;East Asia & Pacific;Upper middle income;2002;68,29;4,80;220,00;8,02;7,52;3,65;3,00;28,49;1205,01;1295,53;5300,45
Palau;PLW;East Asia & Pacific;Upper middle income;2003;68,29;4,80;220,00;9,02;3,78;3,65;3,00;28,49;1196,04;1278,47;5376,75
Palau;PLW;East Asia & Pacific;Upper middle income;2004;68,29;4,80;230,00;9,98;3,78;3,65;3,00;28,49;1193,09;1270,90;5488,43
Palau;PLW;East Asia & Pacific;Upper middle income;2010;68,29;4,80;210,00;11,55;7,76;3,65;3,00;28,49;1069,66;1144,08;5510,89
Palau;PLW;East Asia & Pacific;Upper middle income;2011;68,29;4,80;210,00;10,82;7,53;3,65;3,00;28,49;1048,90;1117,05;5513,58
Palau;PLW;East Asia & Pacific;Upper middle income;2009;68,29;4,80;200,00;10,31;7,57;3,65;3,00;28,49;1099,04;1171,48;5517,62
Palau;PLW;East Asia & Pacific;Upper middle income;2008;68,29;4,80;210,00;9,45;6,24;3,65;3,00;28,49;1127,85;1194,50;5524,44
Palau;PLW;East Asia & Pacific;Upper middle income;2012;68,29;4,80;220,00;11,58;7,65;3,65;3,00;28,49;1029,44;1091,90;5540,14
Palau;PLW;East Asia & Pacific;Upper middle income;2007;68,29;4,80;240,00;9,86;3,78;3,65;3,00;28,49;1158,44;1220,86;5546,28
Palau;PLW;East Asia & Pacific;Upper middle income;2006;68,29;4,80;250,00;9,67;3,78;3,65;3,00;28,49;1190,00;1246,47;5571,91
Palau;PLW;East Asia & Pacific;Upper middle income;2005;69,13;4,80;260,00;9,34;3,78;3,65;3,00;28,49;1215,63;1266,02;5574,76
Palau;PLW;East Asia & Pacific;Upper middle income;2013;68,29;4,80;220,00;12,07;6,89;3,65;3,00;28,49;1030,47;1078,16;5628,02
Palau;PLW;East Asia & Pacific;Upper middle income;2014;68,29;4,80;220,00;12,12;6,55;3,65;3,00;28,49;1025,01;1062,81;5749,36
Palau;PLW;East Asia & Pacific;Upper middle income;2015;68,29;4,80;210,00;11,43;5,71;3,65;3,00;28,49;1019,09;1049,20;5880,16
Palau;PLW;East Asia & Pacific;Upper middle income;2016;68,29;4,80;250,00;12,12;5,86;3,65;3,00;28,49;1013,60;1039,46;6002,50
San Marino;SMR;Europe & Central Asia;High income;2001;68,29;4,80;642,62;5,69;3,78;3,65;3,00;70,37;622,11;330,16;6033,23
Palau;PLW;East Asia & Pacific;Upper middle income;2017;68,29;4,80;260,00;12,04;6,59;3,65;3,00;28,49;1009,11;1032,29;6130,72
San Marino;SMR;Europe & Central Asia;High income;2002;68,29;4,80;642,62;5,44;3,78;3,65;3,00;70,37;623,63;330,39;6147,70
Palau;PLW;East Asia & Pacific;Upper middle income;2018;68,29;4,80;250,00;10,85;6,53;3,65;3,00;28,49;1005,62;1029,38;6266,29
San Marino;SMR;Europe & Central Asia;High income;2003;68,29;4,80;642,62;4,82;3,78;3,65;3,00;70,37;625,44;332,94;6285,42
Palau;PLW;East Asia & Pacific;Upper middle income;2019;68,29;4,80;250,00;15,15;6,81;3,65;3,00;28,49;1002,36;1030,22;6406,86
San Marino;SMR;Europe & Central Asia;High income;2004;68,29;4,80;642,62;4,91;3,78;3,65;3,00;70,37;632,68;333,25;6447,94
San Marino;SMR;Europe & Central Asia;High income;2005;68,29;4,80;642,62;4,93;3,78;3,65;3,00;70,37;638,36;335,86;6590,17
San Marino;SMR;Europe & Central Asia;High income;2006;68,29;4,80;642,62;4,96;3,78;3,65;3,00;70,37;644,79;337,54;6701,51
San Marino;SMR;Europe & Central Asia;High income;2007;68,29;4,80;642,62;5,14;3,78;3,65;3,00;70,37;649,96;338,68;6798,55
San Marino;SMR;Europe & Central Asia;High income;2008;68,29;4,80;642,62;5,46;3,78;3,65;3,00;70,37;654,90;340,39;6893,12
San Marino;SMR;Europe & Central Asia;High income;2009;68,29;4,80;642,62;6,24;3,78;3,65;3,00;70,37;662,17;341,41;7000,46
San Marino;SMR;Europe & Central Asia;High income;2010;68,29;4,80;642,62;6,61;2,63;3,65;3,00;70,37;668,06;343,03;7107,54
San Marino;SMR;Europe & Central Asia;High income;2011;68,29;4,80;642,62;7,40;2,70;3,65;3,00;70,37;675,69;344,70;7211,83
San Marino;SMR;Europe & Central Asia;High income;2012;68,29;4,80;642,62;7,95;3,78;3,65;3,00;70,37;684,45;346,75;7322,71
San Marino;SMR;Europe & Central Asia;High income;2013;68,29;4,80;642,62;7,73;3,78;3,65;3,00;70,37;694,07;348,60;7434,26
San Marino;SMR;Europe & Central Asia;High income;2014;68,29;4,80;642,62;7,53;3,78;3,65;3,00;70,37;703,76;350,32;7548,89
San Marino;SMR;Europe & Central Asia;High income;2015;68,29;4,80;642,62;7,18;3,78;3,65;3,00;70,37;713,28;353,10;7660,08
San Marino;SMR;Europe & Central Asia;High income;2016;68,29;4,80;642,62;6,73;3,78;3,65;3,00;70,37;729,18;353,20;7764,56
San Marino;SMR;Europe & Central Asia;High income;2017;68,29;4,80;642,62;7,22;3,37;3,65;3,00;70,37;744,40;352,94;7858,88
San Marino;SMR;Europe & Central Asia;High income;2018;68,29;4,80;642,62;6,91;3,56;3,65;3,00;70,37;752,24;355,04;7943,65
San Marino;SMR;Europe & Central Asia;High income;2019;68,29;4,80;642,62;6,39;3,38;3,65;3,00;70,37;757,62;357,19;8023,10
American Samoa;ASM;East Asia & Pacific;Upper middle income;2001;68,29;4,80;642,62;5,20;3,78;3,65;3,00;28,49;1683,98;2933,98;10752,13
American Samoa;ASM;East Asia & Pacific;Upper middle income;2002;68,29;4,80;642,62;5,20;3,78;3,65;3,00;28,49;1665,36;2863,99;10932,87
Marshall Islands;MHL;East Asia & Pacific;Upper middle income;2001;68,29;4,80;110,00;16,35;3,78;3,65;3,00;28,49;2622,02;6231,20;11006,56
American Samoa;ASM;East Asia & Pacific;Upper middle income;2003;68,29;4,80;642,62;5,20;3,78;3,65;3,00;28,49;2054,97;2762,29;11067,78
Monaco;MCO;Europe & Central Asia;High income;2001;68,29;4,80;642,62;1,76;3,78;3,65;3,00;100,00;894,05;503,50;11108,28
Monaco;MCO;Europe & Central Asia;High income;2002;68,29;4,80;642,62;1,79;3,78;3,65;3,00;100,00;900,50;507,15;11192,23
American Samoa;ASM;East Asia & Pacific;Upper middle income;2004;68,29;4,80;642,62;5,20;3,78;3,65;3,00;28,49;1664,80;2637,36;11192,85
American Samoa;ASM;East Asia & Pacific;Upper middle income;2005;68,29;4,80;642,62;5,20;3,78;3,65;3,00;28,49;1661,84;2520,51;11269,82
Monaco;MCO;Europe & Central Asia;High income;2003;68,29;4,80;642,62;2,08;3,78;3,65;3,00;100,00;904,03;512,72;11282,91
Marshall Islands;MHL;East Asia & Pacific;Upper middle income;2002;68,29;4,80;120,00;14,38;8,21;3,65;3,00;28,49;2662,40;6161,92;11284,18
Monaco;MCO;Europe & Central Asia;High income;2004;68,29;4,80;642,62;2,13;1,24;3,65;3,00;100,00;909,83;515,55;11372,79
American Samoa;ASM;East Asia & Pacific;Upper middle income;2006;68,29;4,80;642,62;5,20;14,72;3,65;3,00;28,49;1643,51;2438,41;11381,34
Northern Mariana Islands;MNP;East Asia & Pacific;High income;2004;68,29;4,80;642,62;5,20;3,78;3,65;3,00;28,49;2674,10;1891,26;11405,37
Monaco;MCO;Europe & Central Asia;High income;2005;68,29;4,80;642,62;2,12;3,78;3,65;3,00;100,00;916,77;518,58;11457,88
Northern Mariana Islands;MNP;East Asia & Pacific;High income;2005;68,29;4,80;642,62;5,20;3,78;3,65;3,00;28,49;2477,92;1803,45;11462,81
American Samoa;ASM;East Asia & Pacific;Upper middle income;2007;68,29;4,80;642,62;5,20;3,78;3,65;3,00;28,49;1633,93;2338,64;11468,09
Monaco;MCO;Europe & Central Asia;High income;2006;68,29;4,80;642,62;2,02;3,78;3,65;3,00;100,00;924,18;518,73;11547,36
Marshall Islands;MHL;East Asia & Pacific;Upper middle income;2003;68,29;4,80;110,00;14,33;11,82;3,65;3,00;28,49;2703,03;6067,16;11559,95
American Samoa;ASM;East Asia & Pacific;Upper middle income;2008;68,29;4,80;642,62;5,20;3,78;3,65;3,00;28,49;1553,16;2261,22;11585,27
Northern Mariana Islands;MNP;East Asia & Pacific;High income;2003;68,29;4,80;642,62;5,20;3,78;3,65;3,00;28,49;2596,30;2027,62;11619,36
Monaco;MCO;Europe & Central Asia;High income;2007;68,29;4,80;642,62;1,79;3,78;3,65;3,00;100,00;928,51;519,50;11620,86
Northern Mariana Islands;MNP;East Asia & Pacific;High income;2006;68,29;4,80;642,62;5,20;3,78;3,65;3,00;28,49;2270,72;1731,40;11624,16
Monaco;MCO;Europe & Central Asia;High income;2008;68,29;4,80;642,62;1,92;3,78;3,65;3,00;100,00;933,63;520,70;11694,86
American Samoa;ASM;East Asia & Pacific;Upper middle income;2009;68,29;4,80;642,62;5,20;3,78;3,65;3,00;28,49;3543,36;2192,31;11713,59
American Samoa;ASM;East Asia & Pacific;Upper middle income;2010;68,29;4,80;642,62;5,20;3,78;3,65;3,00;28,49;1512,61;2116,36;11769,31
Northern Mariana Islands;MNP;East Asia & Pacific;High income;2007;68,29;4,80;642,62;5,20;3,78;3,65;3,00;28,49;2284,86;1663,65;11783,48
Monaco;MCO;Europe & Central Asia;High income;2009;68,29;4,80;642,62;2,28;1,35;3,65;3,00;100,00;941,35;523,24;11792,28
Marshall Islands;MHL;East Asia & Pacific;Upper middle income;2004;68,29;4,80;130,00;17,26;3,78;3,65;3,00;28,49;2728,41;5976,68;11808,04
Northern Mariana Islands;MNP;East Asia & Pacific;High income;2013;68,29;4,80;642,62;5,20;3,78;3,65;3,00;28,49;1622,45;1324,87;11867,23
Northern Mariana Islands;MNP;East Asia & Pacific;High income;2014;68,29;4,80;642,62;5,20;3,78;3,65;3,00;28,49;1573,71;1299,57;11868,06
Monaco;MCO;Europe & Central Asia;High income;2010;68,29;4,80;642,62;2,33;1,32;3,65;3,00;100,00;948,18;525,12;11872,25
Northern Mariana Islands;MNP;East Asia & Pacific;High income;2008;68,29;4,80;642,62;5,20;3,78;3,65;3,00;28,49;2098,28;1601,45;11901,65
American Samoa;ASM;East Asia & Pacific;Upper middle income;2011;68,29;4,80;642,62;5,20;3,78;3,65;3,00;28,49;1496,97;2048,51;11928,15
Northern Mariana Islands;MNP;East Asia & Pacific;High income;2012;68,29;4,80;642,62;5,20;3,78;3,65;3,00;28,49;1685,68;1359,83;11929,32
Monaco;MCO;Europe & Central Asia;High income;2011;68,29;4,80;642,62;2,18;1,59;3,65;3,00;100,00;954,14;525,92;11943,22
Northern Mariana Islands;MNP;East Asia & Pacific;High income;2002;68,29;4,80;642,62;5,20;3,78;3,65;3,00;28,49;2772,12;2205,49;11984,43
Northern Mariana Islands;MNP;East Asia & Pacific;High income;2010;68,29;4,80;642,62;5,20;3,78;3,65;3,00;28,49;1877,63;1462,75;12000,02
Northern Mariana Islands;MNP;East Asia & Pacific;High income;2009;68,29;4,80;642,62;5,20;3,78;3,65;3,00;28,49;2006,28;1535,17;12007,50
Northern Mariana Islands;MNP;East Asia & Pacific;High income;2011;68,29;4,80;642,62;5,20;3,78;3,65;3,00;28,49;1774,73;1406,28;12007,56
Monaco;MCO;Europe & Central Asia;High income;2012;68,29;4,80;642,62;2,23;1,78;3,65;3,00;100,00;958,80;528,56;12012,47
Northern Mariana Islands;MNP;East Asia & Pacific;High income;2015;68,29;4,80;642,62;5,20;3,78;3,65;3,00;28,49;1549,40;1286,95;12034,54
Marshall Islands;MHL;East Asia & Pacific;Upper middle income;2005;68,29;4,80;140,00;21,96;3,78;3,65;3,00;28,49;2748,09;5861,95;12053,67
Monaco;MCO;Europe & Central Asia;High income;2013;68,29;4,80;642,62;2,15;1,33;3,65;3,00;100,00;962,80;528,64;12068,12
American Samoa;ASM;East Asia & Pacific;Upper middle income;2012;68,29;4,80;642,62;5,20;3,78;3,65;3,00;28,49;1488,16;1993,14;12089,46
Monaco;MCO;Europe & Central Asia;High income;2014;68,29;4,80;642,62;2,09;1,02;3,65;3,00;100,00;963,97;527,02;12097,26
Monaco;MCO;Europe & Central Asia;High income;2015;68,29;4,80;642,62;2,03;3,78;3,65;3,00;100,00;964,58;525,23;12108,38
Monaco;MCO;Europe & Central Asia;High income;2016;68,29;4,80;642,62;1,63;1,37;3,65;3,00;100,00;974,79;521,15;12132,53
Monaco;MCO;Europe & Central Asia;High income;2017;68,29;4,80;642,62;1,64;1,46;3,65;3,00;100,00;983,52;517,37;12155,68
Northern Mariana Islands;MNP;East Asia & Pacific;High income;2016;68,29;4,80;642,62;5,20;3,78;3,65;3,00;28,49;1529,44;1274,47;12167,84
Monaco;MCO;Europe & Central Asia;High income;2018;68,29;4,80;642,62;1,60;3,78;3,65;3,00;100,00;983,03;516,26;12183,11
Northern Mariana Islands;MNP;East Asia & Pacific;High income;2001;68,29;4,80;642,62;5,20;3,78;3,65;3,00;28,49;2938,10;2380,25;12206,63
Monaco;MCO;Europe & Central Asia;High income;2019;68,29;4,80;642,62;1,53;1,15;3,65;3,00;100,00;981,42;515,38;12213,86
Northern Mariana Islands;MNP;East Asia & Pacific;High income;2017;68,29;4,80;642,62;5,20;3,78;3,65;3,00;28,49;1506,00;1243,95;12224,61
Northern Mariana Islands;MNP;East Asia & Pacific;High income;2018;68,29;4,80;642,62;5,20;3,78;3,65;3,00;28,49;1572,52;1206,92;12236,51
Northern Mariana Islands;MNP;East Asia & Pacific;High income;2019;68,29;4,80;642,62;5,20;3,78;3,65;3,00;28,49;1439,97;1172,51;12255,20
American Samoa;ASM;East Asia & Pacific;Upper middle income;2013;68,29;4,80;642,62;5,20;3,78;3,65;3,00;28,49;1602,89;1960,59;12256,06
Marshall Islands;MHL;East Asia & Pacific;Upper middle income;2006;68,29;4,80;140,00;22,02;3,78;3,65;3,00;28,49;2766,88;5698,67;12314,31
American Samoa;ASM;East Asia & Pacific;Upper middle income;2014;68,29;4,80;642,62;5,20;3,78;3,65;3,00;28,49;1481,90;1938,09;12407,77
Marshall Islands;MHL;East Asia & Pacific;Upper middle income;2007;68,29;4,80;140,00;18,07;3,78;3,65;3,00;28,49;2757,07;5523,11;12481,40
American Samoa;ASM;East Asia & Pacific;Upper middle income;2015;68,29;4,80;642,62;5,20;3,78;3,65;3,00;28,49;1476,02;1925,11;12563,31
Marshall Islands;MHL;East Asia & Pacific;Upper middle income;2008;68,29;4,80;130,00;17,09;17,56;3,65;3,00;28,49;2743,78;5348,19;12649,89
American Samoa;ASM;East Asia & Pacific;Upper middle income;2016;68,29;4,80;642,62;5,20;3,78;3,65;3,00;28,49;1486,12;1926,84;12720,39
Marshall Islands;MHL;East Asia & Pacific;Upper middle income;2009;68,29;4,80;140,00;16,43;23,27;3,65;3,00;28,49;2726,25;5164,10;12810,32
American Samoa;ASM;East Asia & Pacific;Upper middle income;2017;68,29;4,80;642,62;5,20;3,78;3,65;3,00;28,49;1501,31;1909,75;12855,96
Marshall Islands;MHL;East Asia & Pacific;Upper middle income;2010;68,29;4,80;140,00;15,85;20,59;3,65;3,00;28,49;2703,00;4973,20;12976,56
American Samoa;ASM;East Asia & Pacific;Upper middle income;2018;68,29;4,80;642,62;5,20;3,78;3,65;3,00;28,49;1509,19;1886,81;12993,42
American Samoa;ASM;East Asia & Pacific;Upper middle income;2019;68,29;4,80;642,62;5,20;3,78;3,65;3,00;28,49;1515,39;1869,17;13137,95
Marshall Islands;MHL;East Asia & Pacific;Upper middle income;2011;68,29;4,80;140,00;14,94;19,71;3,65;3,50;28,49;2678,98;4791,12;13152,16
Marshall Islands;MHL;East Asia & Pacific;Upper middle income;2012;68,29;4,80;140,00;14,78;15,59;3,65;3,50;28,49;2651,39;4629,69;13320,97
Marshall Islands;MHL;East Asia & Pacific;Upper middle income;2013;68,29;4,80;140,00;15,13;15,99;3,65;3,50;28,49;2620,66;4490,81;13497,13
Bermuda;BMU;North America;High income;2001;77,89;4,80;642,62;5,20;3,78;3,65;3,00;28,49;1268,17;1587,90;13589,33
Bermuda;BMU;North America;High income;2002;78,09;4,80;642,62;5,20;3,78;3,65;3,00;28,49;1250,08;1575,91;13601,52
Bermuda;BMU;North America;High income;2003;78,33;4,80;642,62;5,20;1,67;3,65;3,00;28,49;1421,17;1527,36;13619,47
Andorra;AND;Europe & Central Asia;High income;2001;68,29;4,80;520,00;5,87;3,78;3,65;3,00;21,79;1697,99;695,56;13636,64
Bermuda;BMU;North America;High income;2004;78,49;4,80;642,62;5,20;1,78;3,65;3,00;28,49;1234,31;1456,10;13657,02
Marshall Islands;MHL;East Asia & Pacific;Upper middle income;2014;68,29;4,80;150,00;14,94;15,67;3,65;3,50;28,49;2598,13;4374,92;13688,05
Bermuda;BMU;North America;High income;2005;78,69;4,80;642,62;5,20;1,99;3,65;3,00;28,49;1256,68;1351,19;13757,10
Bermuda;BMU;North America;High income;2006;78,89;4,80;642,62;5,20;3,78;3,65;3,00;28,49;1239,01;1373,99;13900,26
Marshall Islands;MHL;East Asia & Pacific;Upper middle income;2015;68,29;4,80;150,00;17,04;17,63;3,65;3,50;28,49;2583,47;4271,70;13906,67
Andorra;AND;Europe & Central Asia;High income;2002;68,29;4,80;530,00;6,10;1,66;3,65;3,00;28,97;1713,57;700,70;13964,72
Bermuda;BMU;North America;High income;2007;78,93;4,80;642,62;5,20;3,78;3,65;3,00;28,49;1237,21;1317,33;13973,26
Bermuda;BMU;North America;High income;2008;79,24;4,80;642,62;5,20;3,78;3,65;3,00;28,49;1237,33;1304,31;14076,78
Marshall Islands;MHL;East Asia & Pacific;Upper middle income;2016;68,29;4,80;180,00;17,37;15,28;3,65;3,50;28,49;2574,76;4186,83;14128,37
Bermuda;BMU;North America;High income;2009;79,39;4,80;642,62;5,20;2,29;3,65;3,00;28,49;1246,24;1253,51;14187,11
Antigua and Barbuda;ATG;Latin America & Caribbean;High income;2001;74,17;4,80;350,00;5,44;3,78;3,65;3,00;28,49;2201,12;3279,72;14289,69
Bermuda;BMU;North America;High income;2010;79,29;4,80;642,62;5,20;2,31;3,65;3,00;28,49;1243,41;1231,96;14292,55
Marshall Islands;MHL;East Asia & Pacific;Upper middle income;2017;68,29;4,80;180,00;16,08;15,22;3,65;3,50;28,49;2569,81;4085,19;14354,45
Bermuda;BMU;North America;High income;2011;81,15;4,80;642,62;5,20;3,78;3,65;3,00;28,49;1229,00;1212,60;14429,85
Antigua and Barbuda;ATG;Latin America & Caribbean;High income;2002;74,40;4,80;390,00;5,29;3,40;3,65;3,00;28,49;2182,35;3199,12;14520,23
Marshall Islands;MHL;East Asia & Pacific;Upper middle income;2018;68,29;4,80;180,00;17,00;15,20;3,65;3,50;28,49;2556,83;4002,60;14592,37
Greenland;GRL;Europe & Central Asia;High income;2004;68,59;4,80;642,62;5,20;3,78;3,65;3,00;85,91;4680,62;1621,54;14593,73
Bermuda;BMU;North America;High income;2012;81,68;4,80;642,62;5,20;3,78;3,65;3,00;28,49;1234,48;1190,87;14605,77
Greenland;GRL;Europe & Central Asia;High income;2005;68,43;4,80;642,62;5,20;3,78;3,65;3,00;85,91;4603,47;1580,30;14679,89
Greenland;GRL;Europe & Central Asia;High income;2001;66,71;4,80;642,62;5,20;3,78;3,65;3,00;85,91;5097,63;1853,36;14704,85
Andorra;AND;Europe & Central Asia;High income;2003;68,29;4,80;530,00;5,64;3,78;3,65;3,00;36,16;1825,54;750,28;14724,44
Greenland;GRL;Europe & Central Asia;High income;2006;68,67;4,80;642,62;5,20;3,78;3,65;3,00;85,91;4498,56;1540,97;14760,09
Antigua and Barbuda;ATG;Latin America & Caribbean;High income;2003;74,61;4,80;410,00;5,59;3,78;3,65;3,00;28,49;2198,61;3068,21;14763,34
Greenland;GRL;Europe & Central Asia;High income;2003;68,11;4,80;642,62;5,20;3,78;3,65;3,00;85,91;4925,62;1697,50;14776,66
Bermuda;BMU;North America;High income;2013;80,57;4,80;642,62;5,20;3,78;3,65;3,00;28,49;1237,83;1174,46;14809,78
Greenland;GRL;Europe & Central Asia;High income;2007;69,37;4,80;642,62;5,20;3,78;3,65;3,00;85,91;4394,59;1487,01;14812,37
Marshall Islands;MHL;East Asia & Pacific;Upper middle income;2019;68,29;4,80;180,00;16,34;15,75;3,65;3,50;28,49;2544,11;3929,70;14835,97
Greenland;GRL;Europe & Central Asia;High income;2002;67,20;4,80;642,62;5,20;3,78;3,65;3,00;85,91;5014,03;1779,42;14839,45
Greenland;GRL;Europe & Central Asia;High income;2008;70,02;4,80;642,62;5,20;3,78;3,65;3,00;86,13;4291,64;1458,08;14851,63
Greenland;GRL;Europe & Central Asia;High income;2009;70,53;4,80;642,62;5,20;3,78;3,65;3,00;86,75;4209,55;1425,85;14887,51
Greenland;GRL;Europe & Central Asia;High income;2010;70,29;4,80;642,62;5,20;3,78;3,65;3,00;87,37;4155,17;1398,35;14954,36
Greenland;GRL;Europe & Central Asia;High income;2011;69,85;4,80;642,62;5,20;3,78;3,65;3,00;87,99;4080,31;1378,80;15000,33
Antigua and Barbuda;ATG;Latin America & Caribbean;High income;2004;74,82;4,80;400,00;5,12;3,78;3,65;3,00;28,49;2223,04;3035,49;15005,20
Bermuda;BMU;North America;High income;2014;80,80;4,80;642,62;5,20;1,54;3,65;3,00;28,49;1218,22;1229,18;15012,20
Greenland;GRL;Europe & Central Asia;High income;2015;71,98;4,80;642,62;5,20;12,00;3,65;3,00;90,50;3638,58;1298,49;15016,01
Greenland;GRL;Europe & Central Asia;High income;2012;70,55;4,80;642,62;5,20;3,78;3,65;3,00;88,62;3930,66;1356,62;15026,32
Greenland;GRL;Europe & Central Asia;High income;2013;71,57;4,80;642,62;5,20;3,78;3,65;3,00;89,24;3834,91;1338,45;15043,51
